mode,date,tap,time,count
bus,20200229,off,08:30,6241
bus,20200229,off,08:45,7572
bus,20200229,off,09:00,6352
bus,20200229,off,09:15,7074
bus,20200229,off,09:30,7795
bus,20200229,off,09:45,8684
bus,20200229,off,10:00,8187
bus,20200229,off,10:15,8553
bus,20200229,off,10:30,9239
bus,20200229,off,10:45,9935
bus,20200229,off,11:00,9304
bus,20200229,off,11:15,10167
bus,20200229,off,11:30,10011
bus,20200229,off,11:45,10409
bus,20200229,off,12:00,9903
bus,20200229,off,12:15,10244
bus,20200229,off,12:30,9987
bus,20200229,off,12:45,10556
bus,20200229,off,13:00,10091
bus,20200229,off,13:15,9936
bus,20200229,off,13:30,10192
bus,20200229,off,13:45,10195
bus,20200229,off,14:00,10204
bus,20200229,off,14:15,10041
bus,20200229,off,14:30,10443
bus,20200229,off,14:45,10344
bus,20200229,off,15:00,10110
bus,20200229,off,15:15,10286
bus,20200229,off,15:30,10497
bus,20200229,off,15:45,10582
bus,20200229,off,16:00,10147
bus,20200229,off,16:15,10270
bus,20200229,off,16:30,10580
bus,20200229,off,16:45,10394
bus,20200229,off,17:00,10413
bus,20200229,off,17:15,10059
bus,20200229,off,17:30,11112
bus,20200229,off,17:45,10788
bus,20200229,off,18:00,9665
bus,20200229,off,18:15,10164
bus,20200229,off,18:30,9063
bus,20200229,off,18:45,8889
bus,20200229,off,19:00,8103
bus,20200229,off,19:15,7017
bus,20200229,off,19:30,6319
bus,20200229,off,19:45,5635
bus,20200229,off,20:00,4865
bus,20200229,off,20:15,4995
bus,20200229,off,20:30,4271
bus,20200229,off,20:45,3948
bus,20200229,off,21:00,3522
bus,20200229,off,21:15,3541
bus,20200229,off,21:30,3622
bus,20200229,off,21:45,3709
bus,20200229,off,22:00,3740
bus,20200229,off,22:15,3677
bus,20200229,off,22:30,3624
bus,20200229,off,22:45,3319
bus,20200229,off,23:00,3247
bus,20200229,off,23:15,2988
bus,20200229,off,23:30,3169
bus,20200229,off,23:45,2822
bus,20200229,on,00:00,1427
bus,20200229,on,00:15,1245
bus,20200229,on,00:30,856
bus,20200229,on,00:45,792
bus,20200229,on,01:00,717
bus,20200229,on,01:15,583
bus,20200229,on,01:30,744
bus,20200229,on,01:45,606
bus,20200229,on,02:00,700
bus,20200229,on,02:15,483
bus,20200229,on,02:30,776
bus,20200229,on,02:45,416
bus,20200229,on,03:00,609
bus,20200229,on,03:15,360
bus,20200229,on,03:30,476
bus,20200229,on,03:45,282
bus,20200229,on,04:00,382
bus,20200229,on,04:15,226
bus,20200229,on,04:30,301
bus,20200229,on,04:45,259
bus,20200229,on,05:00,366
bus,20200229,on,05:15,555
bus,20200229,on,05:30,966
bus,20200229,on,05:45,1113
bus,20200229,on,06:00,1656
bus,20200229,on,06:15,2099
bus,20200229,on,06:30,2467
bus,20200229,on,06:45,2348
bus,20200229,on,07:00,3022
bus,20200229,on,07:15,3579
bus,20200229,on,07:30,4587
bus,20200229,on,07:45,4926
bus,20200229,on,08:00,5815
bus,20200229,on,08:15,6478
bus,20200229,on,08:30,7234
bus,20200229,on,08:45,6984
bus,20200229,on,09:00,7527
bus,20200229,on,09:15,7970
bus,20200229,on,09:30,8514
bus,20200229,on,09:45,8595
bus,20200229,on,10:00,8987
bus,20200229,on,10:15,9688
bus,20200229,on,10:30,10042
bus,20200229,on,10:45,9861
bus,20200229,on,11:00,10282
bus,20200229,on,11:15,10661
bus,20200229,on,11:30,10399
bus,20200229,on,11:45,10395
bus,20200229,on,12:00,10200
bus,20200229,on,12:15,10539
bus,20200229,on,12:30,10682
bus,20200229,on,12:45,10257
bus,20200229,on,13:00,10304
bus,20200229,on,13:15,10396
bus,20200229,on,13:30,10522
bus,20200229,on,13:45,10300
bus,20200229,on,14:00,10153
bus,20200229,on,14:15,10905
bus,20200229,on,14:30,10424
bus,20200229,on,14:45,10656
bus,20200229,on,15:00,10614
bus,20200229,on,15:15,10736
bus,20200229,on,15:30,10625
bus,20200229,on,15:45,10380
bus,20200229,on,16:00,10930
bus,20200229,on,16:15,11113
bus,20200229,on,16:30,10684
bus,20200229,on,16:45,10772
bus,20200229,on,17:00,11086
bus,20200229,on,17:15,11215
bus,20200229,on,17:30,10690
bus,20200229,on,17:45,9916
bus,20200229,on,18:00,10018
bus,20200229,on,18:15,10058
bus,20200229,on,18:30,8508
bus,20200229,on,18:45,7821
bus,20200229,on,19:00,7218
bus,20200229,on,19:15,6588
bus,20200229,on,19:30,5371
bus,20200229,on,19:45,5114
bus,20200229,on,20:00,4952
bus,20200229,on,20:15,4648
bus,20200229,on,20:30,3868
bus,20200229,on,20:45,3749
bus,20200229,on,21:00,3580
bus,20200229,on,21:15,3893
bus,20200229,on,21:30,3488
bus,20200229,on,21:45,3949
bus,20200229,on,22:00,3952
bus,20200229,on,22:15,3849
bus,20200229,on,22:30,3469
bus,20200229,on,22:45,3360
bus,20200229,on,23:00,3101
bus,20200229,on,23:15,3045
bus,20200229,on,23:30,3160
bus,20200229,on,23:45,2833
bus,20200301,off,00:00,2638
bus,20200301,off,00:15,2320
bus,20200301,off,00:30,2201
bus,20200301,off,00:45,1684
bus,20200301,off,01:00,1441
bus,20200301,off,01:15,1124
bus,20200301,off,01:30,1041
bus,20200301,off,01:45,1205
bus,20200301,off,02:00,1148
bus,20200301,off,02:15,1053
bus,20200301,off,02:30,957
bus,20200301,off,02:45,1020
bus,20200301,off,03:00,939
bus,20200301,off,03:15,950
bus,20200301,off,03:30,764
bus,20200301,off,03:45,736
bus,20200301,off,04:00,634
bus,20200301,off,04:15,596
bus,20200301,off,04:30,543
bus,20200301,off,04:45,423
bus,20200301,off,05:00,329
bus,20200301,off,05:15,387
bus,20200301,off,05:30,283
bus,20200301,off,05:45,609
bus,20200301,off,06:00,420
bus,20200301,off,06:15,879
bus,20200301,off,06:30,1003
bus,20200301,off,06:45,1166
bus,20200301,off,07:00,1207
bus,20200301,off,07:15,1385
bus,20200301,off,07:30,1953
bus,20200301,off,07:45,2451
bus,20200301,off,08:00,2719
bus,20200301,off,08:15,3474
bus,20200301,off,08:30,4243
bus,20200301,off,08:45,5026
bus,20200301,off,09:00,5165
bus,20200301,off,09:15,6042
bus,20200301,off,09:30,6767
bus,20200301,off,09:45,7489
bus,20200301,off,10:00,7116
bus,20200301,off,10:15,7387
bus,20200301,off,10:30,7833
bus,20200301,off,10:45,8496
bus,20200301,off,11:00,8072
bus,20200301,off,11:15,8829
bus,20200301,off,11:30,8881
bus,20200301,off,11:45,8944
bus,20200301,off,12:00,8938
bus,20200301,off,12:15,8943
bus,20200301,off,12:30,9020
bus,20200301,off,12:45,9130
bus,20200301,off,13:00,9287
bus,20200301,off,13:15,9168
bus,20200301,off,13:30,9210
bus,20200301,off,13:45,9426
bus,20200301,off,14:00,8764
bus,20200301,off,14:15,8816
bus,20200301,off,14:30,8886
bus,20200301,off,14:45,9293
bus,20200301,off,15:00,8616
bus,20200301,off,15:15,8921
bus,20200301,off,15:30,8227
bus,20200301,off,15:45,9485
bus,20200301,off,16:00,8661
bus,20200301,off,16:15,9177
bus,20200301,off,16:30,9188
bus,20200301,off,16:45,9341
bus,20200301,off,17:00,8628
bus,20200301,off,17:15,8933
bus,20200301,off,17:30,8898
bus,20200301,off,17:45,8896
bus,20200301,off,18:00,8023
bus,20200301,off,18:15,7842
