mode,date,tap,time,count
bus,20200325,off,15:00,5174
bus,20200325,off,15:15,5871
bus,20200325,off,15:30,6447
bus,20200325,off,15:45,6386
bus,20200325,off,16:00,6062
bus,20200325,off,16:15,6434
bus,20200325,off,16:30,6419
bus,20200325,off,16:45,6182
bus,20200325,off,17:00,5829
bus,20200325,off,17:15,6354
bus,20200325,off,17:30,6248
bus,20200325,off,17:45,5913
bus,20200325,off,18:00,5338
bus,20200325,off,18:15,4901
bus,20200325,off,18:30,4169
bus,20200325,off,18:45,3384
bus,20200325,off,19:00,2768
bus,20200325,off,19:15,2476
bus,20200325,off,19:30,1946
bus,20200325,off,19:45,1699
bus,20200325,off,20:00,1358
bus,20200325,off,20:15,1322
bus,20200325,off,20:30,1257
bus,20200325,off,20:45,995
bus,20200325,off,21:00,872
bus,20200325,off,21:15,950
bus,20200325,off,21:30,867
bus,20200325,off,21:45,805
bus,20200325,off,22:00,745
bus,20200325,off,22:15,659
bus,20200325,off,22:30,588
bus,20200325,off,22:45,461
bus,20200325,off,23:00,376
bus,20200325,off,23:15,353
bus,20200325,off,23:30,286
bus,20200325,off,23:45,178
bus,20200325,on,00:00,130
bus,20200325,on,00:15,102
bus,20200325,on,00:30,130
bus,20200325,on,00:45,106
bus,20200325,on,01:00,102
bus,20200325,on,01:15,95
bus,20200325,on,01:30,106
bus,20200325,on,01:45,93
bus,20200325,on,02:00,105
bus,20200325,on,02:15,93
bus,20200325,on,02:30,109
bus,20200325,on,02:45,78
bus,20200325,on,03:00,92
bus,20200325,on,03:15,95
bus,20200325,on,03:30,124
bus,20200325,on,03:45,117
bus,20200325,on,04:00,148
bus,20200325,on,04:15,188
bus,20200325,on,04:30,358
bus,20200325,on,04:45,665
bus,20200325,on,05:00,1079
bus,20200325,on,05:15,1771
bus,20200325,on,05:30,2491
bus,20200325,on,05:45,3314
bus,20200325,on,06:00,4264
bus,20200325,on,06:15,4950
bus,20200325,on,06:30,5506
bus,20200325,on,06:45,5326
bus,20200325,on,07:00,6179
bus,20200325,on,07:15,6939
bus,20200325,on,07:30,7634
bus,20200325,on,07:45,7704
bus,20200325,on,08:00,7469
bus,20200325,on,08:15,7333
bus,20200325,on,08:30,6393
bus,20200325,on,08:45,5351
bus,20200325,on,09:00,4859
bus,20200325,on,09:15,4802
bus,20200325,on,09:30,4523
bus,20200325,on,09:45,4224
bus,20200325,on,10:00,4310
bus,20200325,on,10:15,4384
bus,20200325,on,10:30,4324
bus,20200325,on,10:45,4198
bus,20200325,on,11:00,4336
bus,20200325,on,11:15,4124
bus,20200325,on,11:30,4127
bus,20200325,on,11:45,4013
bus,20200325,on,12:00,4142
bus,20200325,on,12:15,4140
bus,20200325,on,12:30,4066
bus,20200325,on,12:45,4045
bus,20200325,on,13:00,4380
bus,20200325,on,13:15,4495
bus,20200325,on,13:30,4400
bus,20200325,on,13:45,4334
bus,20200325,on,14:00,4832
