mode,date,TZname_on,TZcode_on,TZname_off,TZcode_off,count
bus,20200323,Blacktown_Walters Rd and Newton Rd,4122,Westpoint Centre_Blacktown Station_South,4107,89
bus,20200323,Blackwall,5400,Woy Woy Station,5397,61
bus,20200323,Blackwattle Bay Park_Glebe,226,Sydney TAFE,144,59
bus,20200323,Blakehurst High School,2656,Hurstville_Empress Res,2653,71
bus,20200323,Blaxcell St Public School,1255,Granville Station_South,1224,53
bus,20200323,Bondi,501,Bondi Beach,513,65
bus,20200323,Bondi Beach,513,,,45
bus,20200323,Bondi Beach,513,Bathurst St and Elizabeth St,116,91
bus,20200323,Bondi Beach,513,Bondi Beach,513,51
bus,20200323,Bondi Beach,513,Bondi Junction CBD,518,447
bus,20200323,Bondi Beach,513,Bondi Junction Station,517,441
bus,20200323,Bondi Beach,513,Bondi_Watson St and Grove St,502,98
bus,20200323,Bondi Beach,513,Oxford Square,188,38
bus,20200323,Bondi Beach,513,Sydney CBD_Circular Quay_Customs House,32,37
bus,20200323,Bondi Beach,513,Tamarama Beach,503,45
bus,20200323,Bondi Beach_Lamrock Ave and Consett Ave,514,Bondi Junction CBD,518,61
bus,20200323,Bondi Beach_Roscoe St and O'Brien St,512,Bondi Junction CBD,518,374
bus,20200323,Bondi Beach_Roscoe St and O'Brien St,512,Bondi Junction Station,517,245
bus,20200323,Bondi Beach_Wellington St and O'Brien St,511,Bondi Junction CBD,518,125
bus,20200323,Bondi Beach_Wellington St and O'Brien St,511,Bondi Junction Station,517,76
bus,20200323,Bondi Golf Club,509,Bondi Junction CBD,518,171
bus,20200323,Bondi Golf Club,509,Bondi Junction Station,517,147
bus,20200323,Bondi Junction CBD,518,,,98
bus,20200323,Bondi Junction CBD,518,Bellevue Hill South,543,47
bus,20200323,Bondi Junction CBD,518,Bellevue Park,545,127
bus,20200323,Bondi Junction CBD,518,Bondi,501,214
bus,20200323,Bondi Junction CBD,518,Bondi Beach,513,163
bus,20200323,Bondi Junction CBD,518,Bondi Beach_Wellington St and O'Brien St,511,218
bus,20200323,Bondi Junction CBD,518,Bondi Golf Club,509,58
bus,20200323,Bondi Junction CBD,518,Bondi Junction CBD,518,72
bus,20200323,Bondi Junction CBD,518,Bondi_Watson St and Grove St,502,66
bus,20200323,Bondi Junction CBD,518,Bronte,505,103
bus,20200323,Bondi Junction CBD,518,Bronte Beach,504,53
bus,20200323,Bondi Junction CBD,518,Clovelly_Bishops Ave and Douglas St,653,44
bus,20200323,Bondi Junction CBD,518,Clovelly_Knox St and Greville St,600,44
bus,20200323,Bondi Junction CBD,518,Coogee Beach,604,103
bus,20200323,Bondi Junction CBD,518,Eastgardens Shopping Centre,423,41
bus,20200323,Bondi Junction CBD,518,Kingsford_Castellorizian Club,618,48
bus,20200323,Bondi Junction CBD,518,Maroubra_Robey St and Wise St,642,72
bus,20200323,Bondi Junction CBD,518,North Bondi,508,49
bus,20200323,Bondi Junction CBD,518,Randwick,655,143
bus,20200323,Bondi Junction CBD,518,Randwick North High School,654,76
bus,20200323,Bondi Junction CBD,518,Randwick Plaza,657,243
bus,20200323,Bondi Junction CBD,518,Rose Bay Ferry Wharf,574,99
bus,20200323,Bondi Junction CBD,518,University of NSW,615,67
bus,20200323,Bondi Junction CBD,518,War Memorial Hospital,522,69
bus,20200323,Bondi Junction CBD,518,Waverley,524,222
bus,20200323,Bondi Junction Station,517,,,196
bus,20200323,Bondi Junction Station,517,Bellevue Hill South,543,56
bus,20200323,Bondi Junction Station,517,Bellevue Hill_Suttie Rd and Ranfurley Rd,544,64
bus,20200323,Bondi Junction Station,517,Bellevue Park,545,238
bus,20200323,Bondi Junction Station,517,Bondi,501,596
bus,20200323,Bondi Junction Station,517,Bondi Beach,513,710
bus,20200323,Bondi Junction Station,517,Bondi Beach_Wellington St and O'Brien St,511,491
bus,20200323,Bondi Junction Station,517,Bondi Golf Club,509,123
bus,20200323,Bondi Junction Station,517,Bondi Junction CBD,518,46
bus,20200323,Bondi Junction Station,517,Bondi Junction Station,517,108
bus,20200323,Bondi Junction Station,517,Bondi_Paul St and Kenilworth St,519,87
bus,20200323,Bondi Junction Station,517,Bondi_Watson St and Grove St,502,59
bus,20200323,Bondi Junction Station,517,Bronte,505,175
bus,20200323,Bondi Junction Station,517,Bronte Beach,504,52
bus,20200323,Bondi Junction Station,517,Coogee Beach,604,62
bus,20200323,Bondi Junction Station,517,Darlinghurst_Little Oxford St and Crown St,184,54
bus,20200323,Bondi Junction Station,517,Dover Heights,551,37
bus,20200323,Bondi Junction Station,517,Dover Heights_Portland St and Lancaster Rd,549,48
bus,20200323,Bondi Junction Station,517,Maroubra_Robey St and Wise St,642,36
bus,20200323,Bondi Junction Station,517,North Bondi,508,107
bus,20200323,Bondi Junction Station,517,North Bondi_Brighton Bvd and Wairoa Av,510,100
bus,20200323,Bondi Junction Station,517,Oxford Square,188,35
bus,20200323,Bondi Junction Station,517,Paddington Markets,563,107
bus,20200323,Bondi Junction Station,517,Parsley Bay,571,78
bus,20200323,Bondi Junction Station,517,Randwick,655,136
bus,20200323,Bondi Junction Station,517,Randwick Plaza,657,138
bus,20200323,Bondi Junction Station,517,Rose Bay Ferry Wharf,574,341
bus,20200323,Bondi Junction Station,517,Rose Bay Towns Rd,573,66
bus,20200323,Bondi Junction Station,517,War Memorial Hospital,522,86
bus,20200323,Bondi Junction Station,517,Waverley,524,222
bus,20200323,Bondi Junction_Waverley Library,525,Darlinghurst_Little Oxford St and Crown St,184,59
bus,20200323,Bondi Junction_Waverley Library,525,Paddington_Flinders St and Taylor St,185,50
bus,20200323,Bondi Junction_Waverley Library,525,Paddington Markets,563,194
bus,20200323,Bondi Junction_Waverley Library,525,Woollahra Galleries,578,42
bus,20200323,Bondi_Paul St and Kenilworth St,519,Bondi Junction CBD,518,63
bus,20200323,Bondi_Watson St and Grove St,502,Bathurst St and Elizabeth St,116,43
bus,20200323,Bondi_Watson St and Grove St,502,Bondi Junction CBD,518,249
bus,20200323,Bondi_Watson St and Grove St,502,Bondi Junction Station,517,273
bus,20200323,Bonnyrigg Plaza,3400,,,41
bus,20200323,Bonnyrigg Plaza,3400,Liverpool Station,3843,63
bus,20200323,Bossley Park,3409,Fairfield Station_West,3456,47
bus,20200323,Botany Industrial Area,408,Beaconsfield Industrial Area_Green Square Station,264,134
bus,20200323,Botany Industrial Area,408,Central Station,146,53
bus,20200323,Botany Industrial Area,408,Mascot_Public School,414,103
bus,20200323,Botany Industrial Area,408,Prince Alfred Park,200,36
bus,20200323,Botany Industrial Area,408,Redfern Station,215,218
bus,20200323,Bourke St and Arthur St,199,News Ltd,198,47
bus,20200323,Bourke St and Mort St,202,Bondi Junction_Waverley Library,525,40
bus,20200323,Bourke St and Mort St,202,Randwick Plaza,657,35
bus,20200323,Bradbury_Baden Powell Res,3202,,,61
bus,20200323,Bradbury_Baden Powell Res,3202,Campbelltown Town Centre_Campbelltown Station,3215,73
bus,20200323,Bradbury Shopping Centre,3200,Campbelltown Town Centre_Campbelltown Station,3215,135
bus,20200323,Breakfast Point,664,Burwood Station_North,895,37
bus,20200323,Brighton-Le-Sands,2756,Rockdale Station,2766,229
bus,20200323,Brighton-Le-Sands,2756,Rockdale Tennis Club,2768,205
bus,20200323,Brisbane Water Secondary College Umina Campus,5381,Woy Woy Station,5397,91
bus,20200323,Brisbane Waters Private Hospital,5398,Woy Woy Station,5397,91
bus,20200323,Broadway Shopping Centre_Glebe_Glebe St and Cowper St,233,Sydney TAFE,144,73
bus,20200323,Broadway Shopping Centre_Glebe_Mountain St and Small St,158,,,43
bus,20200323,Broadway Shopping Centre_Glebe_Mountain St and Small St,158,Bathurst St and Elizabeth St,116,85
