mode,date,tap,time,count
bus,20200825,on,06:15,5456
bus,20200825,on,06:30,6182
bus,20200825,on,06:45,6489
bus,20200825,on,07:00,8823
bus,20200825,on,07:15,11757
bus,20200825,on,07:30,15129
bus,20200825,on,07:45,17271
bus,20200825,on,08:00,17672
bus,20200825,on,08:15,15935
bus,20200825,on,08:30,13359
bus,20200825,on,08:45,9437
bus,20200825,on,09:00,7912
bus,20200825,on,09:15,7086
bus,20200825,on,09:30,6781
bus,20200825,on,09:45,5806
bus,20200825,on,10:00,6325
bus,20200825,on,10:15,6063
bus,20200825,on,10:30,6041
bus,20200825,on,10:45,5873
bus,20200825,on,11:00,5961
bus,20200825,on,11:15,6003
bus,20200825,on,11:30,6102
bus,20200825,on,11:45,5912
bus,20200825,on,12:00,6271
bus,20200825,on,12:15,6240
bus,20200825,on,12:30,6587
bus,20200825,on,12:45,6126
bus,20200825,on,13:00,6685
bus,20200825,on,13:15,6807
bus,20200825,on,13:30,6915
bus,20200825,on,13:45,6709
bus,20200825,on,14:00,7899
bus,20200825,on,14:15,8498
bus,20200825,on,14:30,10557
bus,20200825,on,14:45,11721
bus,20200825,on,15:00,16737
bus,20200825,on,15:15,17699
bus,20200825,on,15:30,16906
bus,20200825,on,15:45,12454
bus,20200825,on,16:00,12040
bus,20200825,on,16:15,10689
bus,20200825,on,16:30,10097
bus,20200825,on,16:45,9337
bus,20200825,on,17:00,10901
bus,20200825,on,17:15,10581
bus,20200825,on,17:30,9809
bus,20200825,on,17:45,8902
bus,20200825,on,18:00,8739
bus,20200825,on,18:15,6998
bus,20200825,on,18:30,5628
bus,20200825,on,18:45,4442
bus,20200825,on,19:00,4062
bus,20200825,on,19:15,3290
bus,20200825,on,19:30,2824
bus,20200825,on,19:45,2366
bus,20200825,on,20:00,2458
bus,20200825,on,20:15,2081
bus,20200825,on,20:30,1887
bus,20200825,on,20:45,1694
bus,20200825,on,21:00,1791
bus,20200825,on,21:15,1696
bus,20200825,on,21:30,1511
bus,20200825,on,21:45,1370
bus,20200825,on,22:00,1418
bus,20200825,on,22:15,1168
bus,20200825,on,22:30,927
bus,20200825,on,22:45,810
bus,20200825,on,23:00,636
bus,20200825,on,23:15,531
bus,20200825,on,23:30,382
bus,20200825,on,23:45,323
bus,20200826,off,00:00,279
bus,20200826,off,00:15,215
bus,20200826,off,00:30,179
bus,20200826,off,00:45,155
bus,20200826,off,01:00,97
bus,20200826,off,01:15,169
bus,20200826,off,01:30,137
bus,20200826,off,01:45,104
bus,20200826,off,02:00,87
bus,20200826,off,02:15,118
bus,20200826,off,02:30,114
bus,20200826,off,02:45,89
bus,20200826,off,03:00,92
bus,20200826,off,03:15,119
bus,20200826,off,03:30,65
bus,20200826,off,03:45,82
bus,20200826,off,04:00,117
bus,20200826,off,04:15,185
bus,20200826,off,04:30,170
bus,20200826,off,04:45,400
bus,20200826,off,05:00,700
bus,20200826,off,05:15,1234
bus,20200826,off,05:30,1712
bus,20200826,off,05:45,2542
bus,20200826,off,06:00,3052
bus,20200826,off,06:15,4371
bus,20200826,off,06:30,5378
bus,20200826,off,06:45,6419
bus,20200826,off,07:00,5971
bus,20200826,off,07:15,7542
bus,20200826,off,07:30,9746
bus,20200826,off,07:45,12209
bus,20200826,off,08:00,13956
bus,20200826,off,08:15,15452
bus,20200826,off,08:30,15202
bus,20200826,off,08:45,13005
bus,20200826,off,09:00,9129
bus,20200826,off,09:15,8400
bus,20200826,off,09:30,7337
bus,20200826,off,09:45,7066
bus,20200826,off,10:00,5904
bus,20200826,off,10:15,6084
bus,20200826,off,10:30,6196
bus,20200826,off,10:45,6268
bus,20200826,off,11:00,5607
bus,20200826,off,11:15,5749
bus,20200826,off,11:30,6101
bus,20200826,off,11:45,5953
bus,20200826,off,12:00,5739
bus,20200826,off,12:15,5952
bus,20200826,off,12:30,6190
bus,20200826,off,12:45,6144
bus,20200826,off,13:00,6226
bus,20200826,off,13:15,6334
bus,20200826,off,13:30,6459
bus,20200826,off,13:45,6701
bus,20200826,off,14:00,6330
bus,20200826,off,14:15,7367
bus,20200826,off,14:30,7956
bus,20200826,off,14:45,9691
bus,20200826,off,15:00,10748
bus,20200826,off,15:15,13027
bus,20200826,off,15:30,13535
